n,k,model,status,blocks,qubits,toffolis,joint_measure,measure,automorphism,cross_module,relay_hops,analytic_total_error,total_error,p_fail
105,4,gross_1e-4,analytic,27,297,207,797,3281,2484,101,797,4.16498115576e-05,4.16498115576e-05,4.164894421621046e-05
105,5,gross_1e-3,analytic,21,231,207,787,3283,2484,89,787,1.620303468,1.620303468,0.8021613477271952
105,5,gross_1e-4,analytic,21,231,207,787,3283,2484,89,787,4.11708315576e-05,4.11708315576e-05,4.116998405057082e-05
115,3,gross_1e-3,analytic,39,429,227,988,3829,2724,130,988,2.0305665480000004,2.0305665480000004,0.8687388656545056
115,3,gross_1e-4,analytic,39,429,227,988,3829,2724,130,988,5.13904206936e-05,5.13904206936e-05,5.138910022850496e-05
115,4,gross_1e-3,analytic,29,319,227,913,3721,2724,111,913,1.8786177480000001,1.8786177480000001,0.8471988304261672
115,4,gross_1e-4,analytic,29,319,227,913,3721,2724,111,913,4.7673840693600004e-05,4.7673840693600004e-05,4.767270431416115e-05
115,5,gross_1e-3,analytic,23,253,227,874,3621,2724,95,874,1.799117748,1.799117748,0.8345552121530277
115,5,gross_1e-4,analytic,23,253,227,874,3621,2724,95,874,4.5696940693600006e-05,4.5696940693600006e-05,4.5695896604303066e-05
125,3,gross_1e-3,analytic,42,462,247,1055,4127,2964,145,1055,2.168736828,2.168736828,0.8856780659909856
125,3,gross_1e-4,analytic,42,462,247,1055,4127,2964,145,1055,5.491412982960001e-05,5.491412982960001e-05,5.4912622076352946e-05
125,4,gross_1e-3,analytic,32,352,247,948,3923,2964,121,948,1.951402428,1.951402428,0.8579253177079087
125,4,gross_1e-4,analytic,32,352,247,948,3923,2964,121,948,4.9561389829600006e-05,4.9561389829600006e-05,4.956016168422561e-05
125,5,gross_1e-3,analytic,25,275,247,925,3892,2964,103,925,1.904828328,1.904828328,0.8511518065040333
125,5,gross_1e-4,analytic,25,275,247,925,3892,2964,103,925,4.8423779829600004e-05,4.8423779829600004e-05,4.8422607417331065e-05
