n,k=3_total_error,k=3_p_fail,k=4_total_error,k=4_p_fail,k=5_total_error,k=5_p_fail
116,3.24241e-05,3.24236e-05,2.97617e-05,2.97612e-05,2.69509e-05,2.69506e-05
117,3.68488e-05,3.68481e-05,3.33764e-05,3.33758e-05,3.03282e-05,3.03277e-05
118,3.45023e-05,3.45017e-05,3.04506e-05,3.04502e-05,2.84858e-05,2.84854e-05
119,4.04336e-05,4.04328e-05,3.28416e-05,3.28411e-05,3.29136e-05,3.2913e-05
120,2.80691e-05,2.80687e-05,2.74165e-05,2.74162e-05,2.56163e-05,2.56159e-05
121,3.64563e-05,3.64557e-05,3.28826e-05,3.28821e-05,3.05523e-05,3.05518e-05
122,3.28578e-05,3.28572e-05,3.19186e-05,3.19181e-05,2.87049e-05,2.87045e-05
123,3.70881e-05,3.70874e-05,3.50093e-05,3.50087e-05,3.05223e-05,3.05219e-05
124,3.24299e-05,3.24294e-05,3.08352e-05,3.08347e-05,2.74731e-05,2.74727e-05
125,3.93216e-05,3.93209e-05,3.38313e-05,3.38307e-05,3.22157e-05,3.22152e-05
126,3.70814e-05,3.70807e-05,3.23701e-05,3.23696e-05,2.88637e-05,2.88633e-05
127,4.13137e-05,4.13128e-05,3.53114e-05,3.53108e-05,3.00747e-05,3.00742e-05
